query_id,query_text,query_type,physical_target_text,affective_target_text,instruction_text
P1,"a place with visible benches and greenery for sitting",physical_heavy,"visible benches and greenery","No specific affective requirement; judge whether the scene is visually compatible with the query.","Please judge the image only based on visible cues in the image."
P2,"a shaded outdoor spot with public seating",physical_heavy,"public seating or benches, plus visible shade","No specific affective requirement; judge whether the scene is visually compatible with the query.","Please judge the image only based on visible cues in the image."
P3,"a sidewalk area with trees and enough space to pause",physical_heavy,"sidewalk, trees, and enough open space to pause","No specific affective requirement; judge whether the scene is visually compatible with the query.","Please judge the image only based on visible cues in the image."
P4,"an outdoor place with seating under or near trees",physical_heavy,"outdoor seating or benches under or near trees","No specific affective requirement; judge whether the scene is visually compatible with the query.","Please judge the image only based on visible cues in the image."
A1,"a peaceful outdoor place to relax",affective_heavy,"No specific physical object requirement; judge whether the visible outdoor place is compatible with the query.","peaceful and relaxing atmosphere","Please judge the image only based on visible cues in the image."
A2,"a calm and pleasant urban space",affective_heavy,"No specific physical object requirement; judge whether the visible urban space is compatible with the query.","calm and pleasant atmosphere","Please judge the image only based on visible cues in the image."
A3,"a safe-looking place to rest outdoors",affective_heavy,"No specific physical object requirement; judge whether the visible outdoor place is compatible with the query.","safe-looking and restful atmosphere","Please judge the image only based on visible cues in the image."
A4,"a comfortable and inviting outdoor environment",affective_heavy,"No specific physical object requirement; judge whether the visible outdoor environment is compatible with the query.","comfortable and inviting atmosphere","Please judge the image only based on visible cues in the image."
M1,"a safe and quiet place with greenery where people can read outdoors",mixed_tension_aware,"visible greenery","safe and quiet enough for outdoor reading","Please judge the image only based on visible cues in the image."
M2,"I want to find a modern urban place with visible skyscrapers around me.",mixed_tension_aware,"visible skyscrapers or high-rise urban buildings","modern or contemporary urban appearance","Please judge the image only based on visible cues in the image."
M3,"a shaded place that still feels bright and open",mixed_tension_aware,"visible shade","bright and open atmosphere rather than dark or enclosed","Please judge the image only based on visible cues in the image."
M4,"a green place that feels open rather than enclosed",mixed_tension_aware,"visible greenery","open and not enclosed atmosphere","Please judge the image only based on visible cues in the image."
