record_id,query_id,source_query_id,source_task_type,query_text,query_type,physical_target_text,affective_target_text,instruction_text,display_order,pano_id,best_yaw,yaw,lng,lat,image_path,image_file_name,web_path,copy_status,source_final_csv,review_id,mode,dedupe_key,copied_image_path,methods_present,num_methods_present,m1_clip_rank,m1_clip_score,m1_clip_source_csv,m2_finetuned_clip_rank,m2_finetuned_clip_score,m2_finetuned_clip_source_csv,b1_siglip_rank,b1_siglip_score,b1_siglip_source_csv,m3_qwen_rerank_rank,m3_qwen_rerank_score,m3_qwen_rerank_source_csv,placeseek_physical_m5_rank,placeseek_physical_m5_score,placeseek_physical_m5_source_csv,placeseek_physical_affective_m5_rank,placeseek_physical_affective_m5_score,placeseek_physical_affective_m5_source_csv,human_physical_label,human_affective_label,human_overall_label,notes,best_view_path,best_method_rank,placeseek_affective_only_rank,placeseek_affective_only_score,placeseek_affective_only_source_csv
A1_0001,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,584,jKDSI6KxQMyDYatAHXnvww,180,180,9.1807378,45.4615741,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jKDSI6KxQMyDYatAHXnvww_180.jpg,A1_0001.jpg,images/A1_0001.jpg,copied,,A1_0001,m5,jkdsi6kxqmydyatahxnvww::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0001.jpg,m1_clip,1,1,0.23583984,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\jKDSI6KxQMyDYatAHXnvww_180.jpg,,,,
A1_0002,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,188,GaOz2hsj7cBBwpQdraIRpA,180,180,9.2012153,45.4628638,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GaOz2hsj7cBBwpQdraIRpA_180.jpg,A1_0002.jpg,images/A1_0002.jpg,copied,,A1_0002,m5,gaoz2hsj7cbbwpqdrairpa::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0002.jpg,m1_clip | m2_finetuned_clip | placeseek_physical_m5 | placeseek_physical_affective_m5,4,2,0.23486328,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,2,0.22851562,D:\AAG\Milano_SVI\lang2img\0_M2_fineturned_Clip\M2_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,5,0.8564559542036965,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Semantic\A1_m5_physical\a1_m5_physical_semantic_reranked.csv,6,0.7848656165099978,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Affective\A1_m5_physical_affective\a1_m5_physical_affective_reranked.csv,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GaOz2hsj7cBBwpQdraIRpA_180.jpg,,,,
A1_0003,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,542,GhAcUZxMhPH-0jsDRE49Jw,180,180,9.0900151,45.4609283,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GhAcUZxMhPH-0jsDRE49Jw_180.jpg,A1_0003.jpg,images/A1_0003.jpg,copied,,A1_0003,m5,ghacuzxmhph-0jsdre49jw::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0003.jpg,m1_clip | placeseek_physical_m5,2,3,0.234375,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,9,0.8406194822020753,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Semantic\A1_m5_physical\a1_m5_physical_semantic_reranked.csv,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GhAcUZxMhPH-0jsDRE49Jw_180.jpg,,,,
A1_0004,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,481,4tkjjc0Vl_ucRM9_CmGmKw,0,0,9.218374283,45.46867546,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\4tkjjc0Vl_ucRM9_CmGmKw_000.jpg,A1_0004.jpg,images/A1_0004.jpg,copied,,A1_0004,m5,4tkjjc0vl_ucrm9_cmgmkw::0,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0004.jpg,m1_clip,1,4,0.234375,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\4tkjjc0Vl_ucRM9_CmGmKw_000.jpg,,,,
A1_0005,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,199,s0y_PQ-YrIrOqlx5oQgTpw,180,180,9.187997438,45.46977951,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\s0y_PQ-YrIrOqlx5oQgTpw_180.jpg,A1_0005.jpg,images/A1_0005.jpg,copied,,A1_0005,m5,s0y_pq-yriroqlx5oqgtpw::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0005.jpg,m1_clip | placeseek_physical_m5 | placeseek_physical_affective_m5,3,5,0.23400879,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,2,0.8751969923357369,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Semantic\A1_m5_physical\a1_m5_physical_semantic_reranked.csv,4,0.7995342532607572,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Affective\A1_m5_physical_affective\a1_m5_physical_affective_reranked.csv,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\s0y_PQ-YrIrOqlx5oQgTpw_180.jpg,,,,
A1_0006,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,228,VsJUFOxr8of-L3CMFRuQXg,0,0,9.1873045,45.4555685,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VsJUFOxr8of-L3CMFRuQXg_000.jpg,A1_0006.jpg,images/A1_0006.jpg,copied,,A1_0006,m5,vsjufoxr8of-l3cmfruqxg::0,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0006.jpg,m1_clip,1,6,0.23376465,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VsJUFOxr8of-L3CMFRuQXg_000.jpg,,,,
A1_0007,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,262,B-FltOhjDLfwy9FQGNFCiQ,180,180,9.214140083,45.48655028,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\B-FltOhjDLfwy9FQGNFCiQ_180.jpg,A1_0007.jpg,images/A1_0007.jpg,copied,,A1_0007,m5,b-fltohjdlfwy9fqgnfciq::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0007.jpg,m1_clip | placeseek_physical_m5,2,7,0.23364258,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,15,0.8292178070560506,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Semantic\A1_m5_physical\a1_m5_physical_semantic_reranked.csv,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\B-FltOhjDLfwy9FQGNFCiQ_180.jpg,,,,
A1_0008,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,212,27ESGokI3RqQDGbQ1CVIQw,0,0,9.184316,45.4620219,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\27ESGokI3RqQDGbQ1CVIQw_000.jpg,A1_0008.jpg,images/A1_0008.jpg,copied,,A1_0008,m5,27esgoki3rqqdgbq1cviqw::0,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0008.jpg,m1_clip,1,8,0.23352051,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\27ESGokI3RqQDGbQ1CVIQw_000.jpg,,,,
A1_0009,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,89,qpEYz3kz9Ls-w4DfmpDLKw,90,90,9.2074516,45.4746571,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\qpEYz3kz9Ls-w4DfmpDLKw_090.jpg,A1_0009.jpg,images/A1_0009.jpg,copied,,A1_0009,m5,qpeyz3kz9ls-w4dfmpdlkw::90,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0009.jpg,m1_clip | m3_qwen_rerank | placeseek_physical_m5 | placeseek_physical_affective_m5,4,9,0.23339844,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,2,0.23339844,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_M3\M3_Results\A1\a1_m3_qwen_reranked.csv,14,0.8296928072815646,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Semantic\A1_m5_physical\a1_m5_physical_semantic_reranked.csv,2,0.8308593459968281,D:\AAG\Milano_SVI\lang2img\3_Rerank\Rerank_Affective\A1_m5_physical_affective\a1_m5_physical_affective_reranked.csv,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\qpEYz3kz9Ls-w4DfmpDLKw_090.jpg,,,,
A1_0010,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,120,0URS1xZCyyikZt9o2dQwdA,0,0,9.226634102,45.47218591,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0URS1xZCyyikZt9o2dQwdA_000.jpg,A1_0010.jpg,images/A1_0010.jpg,copied,,A1_0010,m5,0urs1xzcyyikzt9o2dqwda::0,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0010.jpg,m1_clip,1,10,0.23339844,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0URS1xZCyyikZt9o2dQwdA_000.jpg,,,,
A1_0011,A1,,,I want to find a walkable street surrounded by vintage-style historic buildings.,affective_heavy,sidewalk; low traffic; vintage building facade; street in human scale; not avenues,walkable; vintage-style,,429,junrLdSpLzz3Rf8ysiIwsA,180,180,9.191756,45.4586137,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\junrLdSpLzz3Rf8ysiIwsA_180.jpg,A1_0011.jpg,images/A1_0011.jpg,copied,,A1_0011,m5,junrldsplzz3rf8ysiiwsa::180,D:\AAG\Milano_SVI\lang2img\4_FindTop20\outputs_physical_affective\A1_m5_physical_affective\images\A1_0011.jpg,m1_clip,1,11,0.23327637,D:\AAG\Milano_SVI\lang2img\0_M1_CLIP\M1_Results\A1\a1_candidates_baseline_q99_top2mean.csv,,,,,,,,,,,,,,,,,,,,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\junrLdSpLzz3Rf8ysiIwsA_180.jpg,,,,
